Algorithm,Type,Total_Solutions,Non_Dominated_Solutions,Universal_Pareto_Contribution,Seed_1200,Seed_1201,Seed_1202,Seed_1203,Seed_1204,Seed_1205,Seed_1206,Seed_1207,Seed_1208,Seed_1209,HV,GD,IGD
MOEA_AMOSA,Multi-Objective,40,3,3,4,5,2,6,4,4,1,3,2,9,0.062878,0.000000,0.000000
MOEA_NSGAII,Multi-Objective,74,6,0,6,5,4,19,10,5,6,8,9,2,0.183195,0.839450,0.738951
MOEA_SPEAII,Multi-Objective,73,7,0,3,6,7,9,8,11,5,7,10,7,0.054190,0.765158,0.703476
MOEA_eNSGAII,Multi-Objective,66,5,0,12,4,5,7,3,6,7,7,6,9,0.185308,0.739530,0.675633
Universal_Pareto_Set,Reference,3,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.062878,0.000000,0.000000
