Algorithm,Type,Total_Solutions,Non_Dominated_Solutions,Universal_Pareto_Contribution,Seed_1200,Seed_1201,Seed_1202,Seed_1203,Seed_1204,Seed_1205,Seed_1206,Seed_1207,Seed_1208,Seed_1209,HV,GD,IGD
MOEA_AMOSA,Multi-Objective,42,4,4,2,3,8,2,4,9,1,6,5,2,0.584179,0.000000,0.132376
MOEA_NSGAII,Multi-Objective,58,12,0,1,4,10,5,11,9,3,8,2,5,0.158785,0.539915,0.530084
MOEA_SPEAII,Multi-Objective,70,14,3,3,8,8,8,8,4,16,5,4,6,0.117176,0.352278,0.338870
MOEA_eNSGAII,Multi-Objective,45,8,0,2,9,1,3,6,4,6,5,6,3,0.117031,0.582944,0.573934
Universal_Pareto_Set,Reference,7,7,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.586366,0.000000,0.000000
